mixture_ID,mixture_path,source_1_path,source_2_path,length
1502-122619-0055_4014-186183-0020,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/1502-122619-0055_4014-186183-0020.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/1502-122619-0055_4014-186183-0020.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/1502-122619-0055_4014-186183-0020.wav,14080.0
3214-167607-0020_4014-186176-0030,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/3214-167607-0020_4014-186176-0030.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/3214-167607-0020_4014-186176-0030.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/3214-167607-0020_4014-186176-0030.wav,6480.0
5688-41232-0059_8324-286682-0048,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/5688-41232-0059_8324-286682-0048.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/5688-41232-0059_8324-286682-0048.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/5688-41232-0059_8324-286682-0048.wav,6640.0
8063-274112-0001_4441-76263-0015,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/8063-274112-0001_4441-76263-0015.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/8063-274112-0001_4441-76263-0015.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/8063-274112-0001_4441-76263-0015.wav,19380.0
3214-167606-0015_7302-86814-0044,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/3214-167606-0015_7302-86814-0044.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/3214-167606-0015_7302-86814-0044.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/3214-167606-0015_7302-86814-0044.wav,9190.0
8324-286682-0027_4014-186176-0011,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/8324-286682-0027_4014-186176-0011.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/8324-286682-0027_4014-186176-0011.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/8324-286682-0027_4014-186176-0011.wav,7100.0
3214-167606-0029_6415-111615-0038,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/3214-167606-0029_6415-111615-0038.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/3214-167606-0029_6415-111615-0038.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/3214-167606-0029_6415-111615-0038.wav,25730.0
8324-286682-0008_5688-15787-0036,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/8324-286682-0008_5688-15787-0036.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/8324-286682-0008_5688-15787-0036.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/8324-286682-0008_5688-15787-0036.wav,26680.0
7302-86814-0017_6415-100596-0004,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/7302-86814-0017_6415-100596-0004.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/7302-86814-0017_6415-100596-0004.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/7302-86814-0017_6415-100596-0004.wav,12160.0
8063-274117-0006_1502-122619-0084,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/8063-274117-0006_1502-122619-0084.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/8063-274117-0006_1502-122619-0084.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/8063-274117-0006_1502-122619-0084.wav,7370.0
8063-274112-0000_374-180299-0001,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/mix_clean/8063-274112-0000_374-180299-0001.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s1/8063-274112-0000_374-180299-0001.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav2k/min/train-100-rand10-train/s2/8063-274112-0000_374-180299-0001.wav,6580.0
