mixture_ID,mixture_path,source_1_path,source_2_path,noise_path,length
1502-122619-0055_4014-186183-0020,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/1502-122619-0055_4014-186183-0020.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/1502-122619-0055_4014-186183-0020.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/1502-122619-0055_4014-186183-0020.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/1502-122619-0055_4014-186183-0020.wav,28160.0
3214-167607-0020_4014-186176-0030,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/3214-167607-0020_4014-186176-0030.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/3214-167607-0020_4014-186176-0030.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/3214-167607-0020_4014-186176-0030.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/3214-167607-0020_4014-186176-0030.wav,12960.0
5688-41232-0059_8324-286682-0048,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/5688-41232-0059_8324-286682-0048.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/5688-41232-0059_8324-286682-0048.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/5688-41232-0059_8324-286682-0048.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/5688-41232-0059_8324-286682-0048.wav,13280.0
8063-274112-0001_4441-76263-0015,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/8063-274112-0001_4441-76263-0015.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/8063-274112-0001_4441-76263-0015.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/8063-274112-0001_4441-76263-0015.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/8063-274112-0001_4441-76263-0015.wav,38760.0
3214-167606-0015_7302-86814-0044,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/3214-167606-0015_7302-86814-0044.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/3214-167606-0015_7302-86814-0044.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/3214-167606-0015_7302-86814-0044.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/3214-167606-0015_7302-86814-0044.wav,18380.0
8324-286682-0027_4014-186176-0011,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/8324-286682-0027_4014-186176-0011.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/8324-286682-0027_4014-186176-0011.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/8324-286682-0027_4014-186176-0011.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/8324-286682-0027_4014-186176-0011.wav,14200.0
3214-167606-0029_6415-111615-0038,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/3214-167606-0029_6415-111615-0038.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/3214-167606-0029_6415-111615-0038.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/3214-167606-0029_6415-111615-0038.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/3214-167606-0029_6415-111615-0038.wav,51460.0
8324-286682-0008_5688-15787-0036,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/8324-286682-0008_5688-15787-0036.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/8324-286682-0008_5688-15787-0036.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/8324-286682-0008_5688-15787-0036.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/8324-286682-0008_5688-15787-0036.wav,53360.0
7302-86814-0017_6415-100596-0004,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/7302-86814-0017_6415-100596-0004.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/7302-86814-0017_6415-100596-0004.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/7302-86814-0017_6415-100596-0004.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/7302-86814-0017_6415-100596-0004.wav,24320.0
8063-274117-0006_1502-122619-0084,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/mix_both/8063-274117-0006_1502-122619-0084.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s1/8063-274117-0006_1502-122619-0084.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/s2/8063-274117-0006_1502-122619-0084.wav,/mnt/scratch07/hushell/UploadAI/datasets/Avatar10Mix2/wav4k/min/train-100-rand10-train/noise/8063-274117-0006_1502-122619-0084.wav,14740.0
